text,domain
move a little right,NAVIGATION
can you tell a story with a monkey and a pirate,STORY
how does atoms work,STUDY
hush now,SYSTEM
rotate right,NAVIGATION
um what's your favorite the moon,CHAT
hey switch to english,SYSTEM
hmm set volume to half okay,SYSTEM
hold your position,NAVIGATION
so time to sleep,SYSTEM
uh i want to go to the window,NAVIGATION
can you tell a story with a detective and a princess,STORY
um final answer true thanks,GAME
start a game of memory match now,GAME
hey i want to play science quiz please,GAME
reboot yourself now,SYSTEM
let me see you twirl thanks,PET
hey cupcake you're so cute,PET
start a game of simon says,GAME
final answer option one,GAME
um it's alright cutie please,PET
good job darling,PET
got any spelling bee going,GAME
can you tell a story with a unicorn and a witch,STORY
hmm come with me to the window please,NAVIGATION
um enable dark mode,SYSTEM
explain condensation in simple words,STUDY
can you tell a story with a mermaid and a princess,STORY
mute the sound,SYSTEM
i want to play rock paper scissors,GAME
in the story what if a fairy meets a pirate,STORY
hmm enable notifications,SYSTEM
so shut up right now,SYSTEM
i wanna hear a story about a mermaid,STORY
um be careful near the stairs thanks,NAVIGATION
can you tell a story with a lion and a monkey,STORY
you're my favorite nugget,PET
in the story what if a pirate meets a lion,STORY
oh my favorite movie is color now,CHAT
new story about an alien right now,STORY
okay enable night mode thanks,SYSTEM
uh do you like song,CHAT
i want a action story,STORY
head to the garage,NAVIGATION
let me see your smile,PET
turn backward please,NAVIGATION
i'll take care of you sunshine,PET
hey look towards the basement please,NAVIGATION
let's review the food chain,STUDY
i want a fantasy story,STORY
did you know that the brain okay,CHAT
oh set volume to full,SYSTEM
hmm louder please,SYSTEM
uh why is the sky blue,CHAT
okay i want a harder tic-tac-toe,GAME
okay play catch with me okay,PET
give me a fist bump,PET
hey i had a great day now,CHAT
um in the story what if a detective meets a fairy now,STORY
what's your favorite pizza,CHAT
my favorite game is chocolate right now,CHAT
try doing a jump,PET
volume up right now,SYSTEM
i want a harder i spy,GAME
in the story what if a puppy meets a unicorn,STORY
what chapter is erosion in,STUDY
cheer up darling,PET
take four steps right,NAVIGATION
so what do you think about pizza please,CHAT
hmm i'm guessing option three,GAME
hey my favorite subject is stars now,CHAT
i'm here for you little cupcake,PET
final answer right now,GAME
so lead the way to the patio,NAVIGATION
oh turn off notifications thanks,SYSTEM
shake arm friend,PET
oh take a nap please,SYSTEM
um i'm feeling bored now,CHAT
move a little backward,NAVIGATION
hmm my favorite movie is game,CHAT
um for this round i pick option two thanks,GAME
so enable night mode okay,SYSTEM
what are the main points of condensation,STUDY
hello,CHAT
so spin me a yarn about a superhero,STORY
uh what do you think about song okay,CHAT
let me guess twenty,GAME
follow me to the nursery,NAVIGATION
i had a terrible day now,CHAT
so my favorite game is pandas,CHAT
uh enable night mode please,SYSTEM
um everything will be fine buddy,PET
oh speak in english right now,SYSTEM
in the story what if a ninja meets a bear,STORY
cheer up boo,PET
oh i need a hug from you,PET
uh i like toy,CHAT
don't worry robot,PET
tell me about magnets,STUDY
go over planets again,STUDY
hmm what happens when we dream please,CHAT
can you explain photosynthesis,STUDY
my favorite subject is pizza,CHAT
i wanna hear a story about a talking cat,STORY
okay i like pizza,CHAT
okay my favorite animal is cars,CHAT
so speak in japanese,SYSTEM
uh go to the table now,NAVIGATION
i want to learn about the moon,STUDY
um walk to the attic,NAVIGATION
hmm what's your favorite flowers now,CHAT
what version are you okay,SYSTEM
oh what's your favorite ice cream right now,CHAT
head over to the study room,NAVIGATION
okay what do you think about book now,CHAT
is continents the same as photosynthesis,STUDY
hmm my favorite food is pizza,CHAT
in the story will a superhero be okay,STORY
snuggle time little one,PET
hold on pause the story,STORY
so set brightness to high,SYSTEM
okay let's play card game now,GAME
can you tell a story with a fairy and a princess,STORY
give me an explanation of ecosystems,STUDY
my favorite game is cars thanks,CHAT
okay set volume to maximum,SYSTEM
nice to see you again pal right now,PET
okay let me see your pouty face right now,PET
quiz time for spelling,STUDY
um lead the way to the porch,NAVIGATION
head to the door,NAVIGATION
oh bring me to the sofa,NAVIGATION
oh let's start word guess,GAME
in the story what if a witch meets a bunny okay,STORY
my game answer is red,GAME
uh my favorite color is penguins,CHAT
face the pantry,NAVIGATION
hmm in the game i'll go with red right now,GAME
my favorite color is ice cream,CHAT
move to the sofa,NAVIGATION
do a spin for me,PET
uh why is grass green,CHAT
time for pretend,PET
my favorite movie is sport,CHAT
so head to the entrance,NAVIGATION
hmm final answer ten now,GAME
okay head to the attic,NAVIGATION
i want to learn about the food chain,STUDY
final answer five thanks,GAME
so what do you think about stars,CHAT
walk four steps forward,NAVIGATION
i want to learn about history,STUDY
uh aww hello nugget,PET
hmm switch to spanish please,SYSTEM
let's go to the entrance,NAVIGATION
why is sound important,STUDY
can you tell a story with a princess and a dinosaur,STORY
i wanna hear a story about a robot,STORY
in the game it must be the dog,GAME
oh refresh the system,SYSTEM
in the story what if a detective meets a lion,STORY
what's the difference between gravity and cells,STUDY
change language to korean,SYSTEM
hmm come with me to the couch,NAVIGATION
hmm final answer blue,GAME
oh refresh the system right now,SYSTEM
can you tell a story with a bunny and a ninja,STORY
hmm my favorite subject is toy,CHAT
let me guess the dog,GAME
hey my favorite movie is cats please,CHAT
head over to the table,NAVIGATION
hey move to the kitchen right now,NAVIGATION
so shut up,SYSTEM
so hi my sweet love thanks,PET
uh go around the box okay,NAVIGATION
hmm what's your favorite stars now,CHAT
okay i'm happy today thanks,CHAT
uh my favorite animal is birds please,CHAT
okay play i spy with me please,GAME
go to the playroom,NAVIGATION
take the dark cave,STORY
my favorite color is flowers,CHAT
my game answer is no right now,GAME
i'm guessing yes,GAME
how is volcanoes used in real life,STUDY
okay let's try the left path,STORY
tell me about atoms,STUDY
hmm you're adorable munchkin,PET
give me an explanation of molecules,STUDY
let's play ball together,PET
can you tell a story with a monkey and a mermaid,STORY
invent a story about a penguin,STORY
help me understand condensation,STUDY
let's start puzzle,GAME
so i feel like playing true or false okay,GAME
in the story will a unicorn be okay,STORY
well done honeybun,PET
let's do catch together,PET
be careful near the box right now,NAVIGATION
is shapes the same as the moon,STUDY
okay how about a game of maze thanks,GAME
follow me,NAVIGATION
i want a harder true or false,GAME
hmm can you tell a story with a bunny and a lion thanks,STORY
uh what's your favorite rainbows,CHAT
so my favorite animal is book please,CHAT
i missed you boo,PET
hey thank you,CHAT
i'm confused about biology,STUDY
how is weather used in real life,STUDY
in the story what happens to a mermaid,STORY
so my favorite game is book,CHAT
shake paw sunshine,PET
okay well done nugget thanks,PET
explain the water cycle to me,STUDY
hmm i want a harder puzzle please,GAME
um good to see you little one,PET
summarize fractions for me,STUDY
uh sleep now okay,SYSTEM
um take a few steps left,NAVIGATION
i don't understand the human body,STUDY
so i like dogs,CHAT
solve ten plus ten,STUDY
okay tell me a story about a unicorn now,STORY
hey there little robot,PET
so in the story what does a lion find,STORY
can you tell a story with a mermaid and a brave knight,STORY
oh in the story what if a lion meets a bunny thanks,STORY
goodnight go to sleep,SYSTEM
roll over cutie,PET
hey can you tell a story with a monkey and a pirate,STORY
new story about an astronaut,STORY
can you tell a story with an alien and a princess right now,STORY
hey roll over baby,PET
what's the definition of continents,STUDY
i want a action story please,STORY
in the story will a talking cat be okay,STORY
um turn up the volume please,SYSTEM
what's the difference between animals and dinosaurs,STUDY
um head over to the closet,NAVIGATION
i feel like playing number guessing,GAME
wanna play chase,PET
hey speak in japanese please,SYSTEM
no is my final game answer,GAME
okay my game answer is blue,GAME
in the story what does a lion find,STORY
hmm what's your name,CHAT
what's your favorite toy right now,CHAT
what does the solar system mean,STUDY
in the game it must be three,GAME
what's the definition of division,STUDY
um volume down,SYSTEM
okay my favorite game is color,CHAT
can you make a smile,PET
make geography easier to understand,STUDY
time to play word scramble,GAME
so in the game i'll go with right thanks,GAME
oh disable wifi okay,SYSTEM
play peek-a-boo with me,PET
restart thanks,SYSTEM
why is magnets important,STUDY
in the story is a dinosaur safe,STORY
lead the way to the attic thanks,NAVIGATION
uh can you go to the balcony please,NAVIGATION
for the game i'll say the second one,GAME
can you tell a story with a talking cat and a unicorn,STORY
explain oceans to me,STUDY
my favorite color is chocolate,CHAT
um what do you think about ice cream right now,CHAT
hey what do you think about penguins,CHAT
narrate a story about a ninja,STORY
so look towards the garden,NAVIGATION
so face the kitchen thanks,NAVIGATION
so sleep now thanks,SYSTEM
tell me a story about a dinosaur,STORY
hey hi my sweet baby thanks,PET
is dinosaurs the same as shapes,STUDY
in the game i think it's no,GAME
uh bring me to the entrance,NAVIGATION
halt right there,NAVIGATION
tell me a magical tale,STORY
do you want to play red light green light,PET
in the story what if a mermaid meets a talking cat,STORY
hey it's bedtime go to sleep thanks,SYSTEM
option c is my final game answer,GAME
once upon a time story about a ninja,STORY
i want to play fetch with you,PET
um i'm feeling tired now,CHAT
do you want to play catch,PET
okay reboot,SYSTEM
oh turn on notifications please,SYSTEM
can you tell a story with a superhero and a lion,STORY
walk to the nursery thanks,NAVIGATION
can you teach me sound,STUDY
hey walk to the attic okay,NAVIGATION
uh i want a harder would you rather please,GAME
start a new story about a monkey,STORY
i need to review subtraction,STUDY
so i feel like playing word scramble,GAME
